,x,y
5792,"<user> yes!! i made the sign when i noticed it missing on sunday! so far, no luck... it's now unlucky japanese cat...",fear
5793,<user> o2 - train from bristol to london. it's terrible - and no wifi,anger
5794,that just sucks!,fear
5795,<user> there is no sun here in florida..it's all rainy and cloudy.,sadness
5796,its so sad when the dad dies hakuna matana it means no worries for...,sadness
5797,is it normal for a masseusse to fully massage your buttocks? i swear she was a quarter inch from a medical exam..,fear
5798,<user> the lens was 70mm i couldn't,fear
5799,got an appt. w/ the doctor at 4pm today to look at these &quot;bites&quot;. hoping it isn't an infection. i need more powerful anti-itch cream.,fear
5800,"visit 2 la ventana de los cielos foundation was pushed bck 2 weeks, was so excited 2 go &amp; meet the kids. i'll have 2 wait another 2 wks",joy
5801,picking up a couple toys tonight! d300 and 50mm f/1.4! yay!! :-d just for the weekend though,joy
5802,didn't sleep good last night. woke up with another bellyache what's wrong with meeeeeee.,fear
5803,"<user> haha i was just talking about that to my colleague. i have 539 dms, only 15 - 20 are actual messages and not spam",joy
5804,<user> surely you knew this before hand? a good book or a hand held has to be essential. just no psps unless you have a charger.,love
5805,more bbqs might buy some disposable ones some time.,noemo
5806,"<user> can't, sorry and don't call me lame.",noemo
5807,<user> <url> - awwww poor boys! *cries* so sad..,sadness
5808,<user> yep...sadly i only had 10 min before a meeting!,sadness
5809,<user> yes! haha and then when he impaled himself with the crossed keys! love scottish-trying-to-be-irish ewan mcgregor,joy
5810,off to work,joy
5811,"final thought for the day, does deodorant really make your lungs bleed when inhaled constantly? certain females paranoid about bo",surprise
5812,is thinking wow i survived freshman year...mission accomplished...now sophomore year,joy
5813,"ouch, my back. man i'm sick",fear
5814,no theatre next year stupid schedules!,fear
5815,<user> i am lost. please help me find a good home.,fear
5816,<user> no news on the kid. they can't find the parent!,anger
5817,"is in class, trying to listen but i really like twitter, facebook, .&amp; myspace oh yeaaah .&amp; i'm hungry!",joy
5818,hmmmmï¿½being home isn't *all* great <url>,noemo
5819,"so, i'm at the point now that it has become apparent that having a degree means jack shit.",noemo
5820,<user> i want magic mountain tix but i dont get ur station out in paso boo sux for me,noemo
5821,my shirt is a fuzz magnet today and i feel totally uncomfortable,fear
5822,trying my best not to share this lovely head cold,noemo
5823,art history quiz... i didn't study,fear
5824,"i've locked up a mac once or twice in my time. ok, literally once or twice.",noemo
5825,"<user> i gave up cable in these tough economic times. it was either cable or shoes, and you know what cable lost",fear
5826,<user> dang... that is disappointing,sadness
5827,"wicked, my dvb-s tuner card has arrived. although not sure i'll be able to get it all set up ready for the fa cup final tomorrow",joy
5828,stupid hip!! i hate you!! and i can't even break in my new kicks!!! grrrr!,anger
5829,"tgif.,..i wish that saying applied to me, but i work saturdays",sadness
5830,<user> getting there sat afternoon i think. no costume yet womp wompppppp,fear
5831,sad assembly next block,noemo
5832,10-year-old girl battles rare breast cancer <url>,noemo
5833,<user> wish i was in dallas.. can i still say ow!? lol hey... u spelled my name wrong it's all good. thanks for #ff love,joy
5834,<user> unfortunately i didn't see any of that spreading of poo,fear
5835,off to work now,noemo
5836,"woo, hulu desktop! my poor mac is kinda struggling with it though, poor little core duo just can't keep up",fear
5837,why are matters of the heart so complicated?,fear
5838,my son had surgery yesterday so mommy and son time won't be as long today,joy
5839,"words can barely describe how shitty i feel this morning. work, then driving to madison to play discotech. driving alone",fear
5840,<user> do you think the bead crumb navigation will return to the new fusion studios? i really miss that at the top of each item.,noemo
5841,damn i miss my bf,sadness
5842,i did many things but missed tweeting,noemo
5843,<user> no i was too slow i hate getting the trailhead then not getting in.,anger
5844,<user> i'm so sorry. i don't understand why some people expect everyone to react to these things with the same &quot;poise&quot; as themselves,fear
5845,<user> sorry to hear that carol.,fear
5846,<user> i'm missin u guys by a day!! ill b there tomorrow butttt see u june 18th with the blockkkkk!!!!,sadness
5847,<user> it was jam all over the island! till i'm havin migraine now!,fear
5848,i've gotten a cold every time i've flown somewhere 6+ hrs away in the past year. hope to be back in the pool/on the bike next week.,fear
5849,<user> join the club,noemo
5850,<user> and.. it's raining here,fear
5851,forgot the montel quote and it was a good one..,noemo
5852,<user> so where r u spinning now that the hookah is r.i.p.?,fear
5853,<user> awww...busy day for you then! i have to get my big mac ass outta here...work beckons i'll talk to you later.,fear
5854,<user> ???? ????? ????? ?? .. ????? ?? ????? ??? ???????,noemo
5855,<user> <url> - uh wait...i thought this was the 29th...tonight,noemo
5856,<user> flew brisbane - lax today. great flight. love the lights. shame about one drink limit though!,joy
5857,"<user> thats what doting husbands are for lol!! i hope that once my braces go on, i can eat normally again",fear
5858,"<user> well, i'm glad i'm not the only one! mine's so bad i'm having to resort to pulling out the old hairband disguises...",sadness
5859,just thought about how unfair 3 ppl have been 2 me n got depressed again haters!!!,anger
5860,have a slight headache,fear
5861,<user> are you guys gonna get the metal detector from the brickmans? i saw chad ask davey on fb. sorry 'bout your ring,noemo
5862,"<user> did you decide it is a sprain? mine has been bothering me again, but never had it checked out",fear
5863,stuck at home b/c my mom is sick and we haz not moniez,fear
5864,<user> how do i make it better after being robbed of 1m.,fear
5865,<user> nooooo! working this weekend,fear
5866,<user> the link didn't work.,noemo
5867,"up and at em... got a big to do list for today, and hubby has to work but then weekend is going to be just us... i think!",joy
5868,this weekends abouttttto suck,noemo
5869,"<user> does she like it, or does she roll her eyes? now i'm curious as hell! good singing is a real treat as far am i'm concerned!",noemo
5870,<user> didnt get it clear,surprise
5871,<user> it re-entered my brain orbit thanks to me watching ryan reynolds mugging away in &quot;just friends&quot; recently,joy
5872,i'm going to stop tweeting and do my lsat studying now.,sadness
5873,"<user> i wish i could have a pole, we got no space for it maybe i should throw out some furniture and get a pole",sadness
5874,what am i going to do without my <user> skype! haha,sadness
5875,oh man !! i was going to connect my old school nintendo to play mario games. and is not in the bag i gotta search for it.,surprise
5876,"i miss my jeep now i have to bum a ride to the dreaded, horrid walmart. boo.",sadness
5877,damn fallout 3 is a hard game,sadness
5878,one of my cat's is sick,fear
5879,a thursday. is that really necessary <user> ? have u ever heard of school and horrible mums,anger
5880,sachie: yna doesn't know our password yet,noemo
5881,<user> chroma key coolness ... when are the cumulus seminars going online couldn't see the live feed here,sadness
5882,<user> my film didn't come out the camera was broken. lamesauce.,sadness
5883,i'm super hungry! waiting for my biotch to feed me.,joy
5884,"<user> yessum. we'll see how this year goes... maybe i can head back in oct, when the rates go down. i wanted to go for my bday",sadness
5885,"argh, i can't avoid spelling bee spoilers anywhere! now i know the winning speller and word before having actually watched the bee.",surprise
5886,i think i'm about to break my own heart. (as emo as that sounds)... meh.,sadness
5887,is tired n wants to sleep in her own bed,noemo
5888,dammit i cant watch stadium music,sadness
5889,"just got in a nasty argument with someone i normally like very much. she doesn't forgive well, either",joy
5890,"we waste way too much paper @ the office... for nothing worthy, that almost disgust me",anger
5891,<user> love it! really its simple i think of a word and put twi on the front i should be more clever,noemo
5892,<user> are you in galbladia garden? that shit is hard.,love
5893,just chillin'.. i'm a bit bored boohoo !,joy
5894,laying in bed sore and snuggeling domino... i don't wanna work out today,sadness
5895,<user> i aint blanco either..yo 100% puerto rican mami....yo show muy amor yi tu...but yo no se...,noemo
5896,<user> haha lol where have you been going?...i haven't really been out lol..i've been a hobbit..n my mums like keep revisin beck,sadness
5897,"<user> would love it if you guys toured here, really! philippines tour?",love
5898,it's raining i can't go out to jogging... i have to do it in my house gym...,sadness
5899,ahh i hate when you bbrush your teeth so hard you make your gums bleed,noemo
5900,so...i really want to be home right now.,noemo
5901,thought i was going to have a fun day,sadness
5902,at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,noemo
5903,is a hot hell of a mess. i wish i would have gone to arlington for zeta!,noemo
5904,<user> i know how you feel have a lovely relaxing weekend!,joy
5905,felt one tooth without the braces bracket. i got soooo hype,sadness
5906,<user> !!!! glad you're alright!,noemo
5907,is moving out of nesbitt.,noemo
5908,i'm so disgusted that my assumptions regarding what happened in harlem last night were 100% correct without reading the story first.,fear
5909,<user> - oh foa real.? i didnt really keep up with what was going on. too many diff storys n stuff hey. wish he neva did it!,fear
5910,"my poor wife. i'm laid up for another 6 hours on doctors orders, then can't do much and she is dealing with screaming baby",fear
5911,<user> you're mean to me. you're gonna have to have pizza tonight or it will go off.,surprise
5912,"<user> oh dear. (i'm sorry, but i laughed )",joy
5913,<url> omfg this dude looks well 'ard! he puts me to shame...,surprise
5914,<user> he thinks he's a gangsterrr his ass don't even fit in g unit. &amp; i know :| ))))),joy
5915,<user> unusual for them,noemo
5916,<user> i don't. i hope it takes them a good long while to recover.,joy
5917,this phyllis hyman unsung story is so sad,sadness
5918,"dear <user> a)stop snoring and b) move from the middle of the bed, please.",fear
5919,sites that republish my blog's feed often end up higher than my blog on google search results,noemo
5920,<user> when are you coming to indianapolis !?!?,surprise
5921,my hairs straight lmao,noemo
5922,<user> we told you guys! we are just going for a while to get our passes then we are going to see up downtown disney! yay!,joy
5923,moving makes me sore. dunno if we are gonna make it! its getting close!,fear
5924,"now i am doing the microeconomics project ihate this subject &amp; beside that i have the english ilets exam tomorrow, waaa ,help !!",fear
5925,my shoes hurt my feet,fear
5926,loving the warm weather... but can we get some rain please?! my water bill is going to be bad,fear
5927,at work with a huge headache,sadness
5928,this is my anthem right now.... don't leave me high and dry. ? <url>,joy
5929,i feel like shit,sadness
5930,<user> oh dear... that's just... disturbing. the coffee connoisseur in me just died a little.,sadness
5931,<user> omg daon't tell me you have watched twilight enuff to know that !!,joy
5932,<user> yeah that was bad....,fear
5933,youtube isn't working...and i wanted to watch britains got talent. i'm debating about having a pity party.,noemo
5934,emoticons by christian. &quot; &quot; <url>,noemo
5935,<user> yep,noemo
5936,<user> you can't make it down to nyc at all when i'm there huh?,noemo
5937,got people don't let me skip sci pratical becos skola is impt and dont waste my parents money. nt fair.,sadness
5938,woot. just had my interview! went awsome! i didn't get to talk with mr. johnny thought... oh well i still did really good!,joy
5939,wow that was fast...next up soderling or ferrer. gilles simon lost,surprise
5940,my knees are sore after physio,sadness
5941,"i hate having to put my toddler in a disposable, but her rash needs ointment. i hate her having a rash even worse.",fear
5942,off to dollarama -- i wish i had a new job,surprise
5943,im tweeting... this is so hard... i dont get it...,anger
5944,looking for a show to turn my brain into mush so it doesn't hurt anymore any good free online ones you know of?,noemo
5945,my coffee got cold blah!,sadness
5946,<user> you look nothing like your twitter avatar!,anger
5947,i lost my phone.,sadness
5948,i suddenly want chinese food in the worst way. not really a great on-the-run food and i packed a sandwich for lunch anyway.,noemo
5949,why does she keep trying to hurt me? aren't the tears i've cried in the past few months enough?,sadness
5950,it is always sunny on days when i can't possible be outside. life is out to get me,sadness
5951,"..get over on his mom &amp; now i feel horrible, he must think i am. that's not what i meant. just thought it'd be better than the brunt.",fear
5952,<user> really i look like a boy!!! i need someone to do my hair!,fear
5953,14 more days with slow internet,fear
5954,omgoodness back to school soon fun!,love
5955,<user> i'm in ad for another week- visa work,noemo
5956,<user> will we be seeing mcfly in the philippines soon?,fear
5957,"<user> i can't yet back, i've run out of texts! i'll ring you laters xoxo",sadness
5958,tired with a headache me no like sunshine,fear
5959,<user> i'm on blip but can't get it to work on me iphone,sadness
5960,got people don't let me skip sci pratical becos skola is impt and cannot waste my parents money. nt fair.,sadness
5961,its cold,noemo
5962,listening to music box. when mariah could still sing,joy
5963,died again in kp .. gonna upgrade some of my spells now first before heading back there... #eq2,fear
5964,hate living down here in fl. missing ga like crazy...like they say you dont know what you got till its gone ga on my mind,anger
5965,managed to finally get through to someone who had left a message earlier today. old dog already put to sleep,joy
5966,finally on my way home,joy
5967,"crap. have to break my &quot;no work in weekend&quot; rule so much overloaded with work. aargh, hate it!",joy
5968,<user> revising as uni exams are looming,noemo
5969,"ym, meebo &amp; ebuddy really hate us <user> <user> <user> <user> <user>",fear
5970,i'm going to miss the seniors so much! don't goo!,fear
5971,poor nicole just absolutely destroyed her cell phone,fear
5972,"i was on time three shifts in a row. but i woke up at 840 and work's at 9. five minutes late, ugh! -_-",fear
5973,<user> im listening to people saying eww at out current frog disection poor froggy.,fear
5974,finished breaking dawn last night. i managed to finish those 800 pages in 3 days. it was so good! i'm sad that i'm done w/ twilight saga,joy
5975,kate is leaving me all by my lonesome,noemo
5976,<user> mï¿½y em mï¿½ torrent thï¿½ bï¿½ ch? trï¿½n nhï¿½ ?ang thiï¿½n long l?i ch?y xu?ng ?i?u tra,noemo
5977,awww sunthings wrong w/ my ubertwitter last nite.,sadness
5978,am about to sell my medieval trading pavillion... v sad,sadness
5979,i really should have gone to the chiropractor this week . . and today my neck hurts so bad,fear
5980,ordered a new computer! unfortunately it won't get here until the end of june.,sadness
5981,two dozen roses sent overnight and delivered this morning. just found out the recipient is out of town!! sad,sadness
5982,don't you hate it when you're left with one slice of bread left in the bag? half sandwich.,love
5983,i get to drive my dad to the airport so he can fly to vegas for the wsop... i wanna go to vegas...,joy
5984,.. these holidays are soo boring..,fear
5985,ewww just printed my new i.d badge thingie 4 work n eww my picture. i took so many n they were all ugly,sadness
5986,just about to say goodbye to <user> and <user> two of the best interns that elevate have ever had,joy
5987,bad migrane and need to go to dancing tonight.... not a good combination,noemo
5988,i have geographie next and i hate it!!!!!!!,anger
5989,is wondering if my ankle will ever stop hurting,fear
5990,i guess this is soul searching time for me since i'm home alone &amp; no one's talking to me,fear
5991,<user> well atm anyway i'm only managing cos i have no musical talent ps horrible thing to say bout rove,sadness
5992,has two tickets to amadou and miriam for tue. june 2 that i can't use $25 each to anyone who wants 'em. that's face value. should be good,joy
5993,<user> i'm sorry do you have a mac? you should get oneee,noemo
5994,this week flew by. want to go see up soooo badly this weekend!,joy
5995,<user> stinks what do you do anyway?,noemo
5996,took the cutest pics of andy yesterday. but i don't have them. used my bro's fancy dslr &amp; didn't have time to upload them. i want my own!,surprise
5997,"this really hurts. and this really sucks. i don't know what i can do to fix all this, seriously.",fear
5998,<user> i really wish i could convince brandon to move somewhere like that. all he wants to do is move to lexington.,noemo
5999,i forgot to put on sunblock before getting in the car,fear
6000,<user> r.i.p curls,noemo
6001,<user> i always hope they will die out but then i see the the old ones and it makes me sad,fear
6002,i didn't go to the gym today and i feel bad,fear
6003,i guessed my leg havent healed from the old injuries but i can still run though and kick ball! haha. but will sometimes fell a sharp pain,fear
6004,and so to london in a car that's about 500 degrees with no air con!,noemo
6005,<url> - man i miss this truck so much! had to return it cause it was 687.00 a month and 236.00 ins a month on it : ...,noemo
6006,<user> yeah me too but there isnï¿½t any prom here in germany although school is almost everywhere the same! ?,sadness
6007,going home to get clothes,noemo
6008,paypal hates me. it refuses to let me verify my account.,fear
6009,has at least 30 bug bites on her legs,fear
6010,the commies at their finest: youtube and blogger are blocked in china. no updates from us while we are in china. but great wall conquered,fear
6011,<user> what's the name of the mixtape? my mixtape connect moved to texas so i gotta find a new guy,noemo
6012,it will if i do it in a round about way. i ahve to copy the public contacts into my personal contacts first. no big deal,noemo
6013,<user> i have been failing at cooking lately makin me sad. duno how to cook for less than an army. i need to practice flour tortillas.,sadness
6014,<user> sounds painful sorry you got hurt.. and may i ask how this happen?,fear
6015,scott's leaving now,surprise
6016,i need to get back into daily tweeting. this hiatus sucks what also sucks is gsn interrupting shows while they're airing. &gt;_&lt;,sadness
6017,god opened the clouds and said i hate you josh,sadness
6018,cran-grape for lunch,noemo
6019,<user> hi frenchie *-* i'll do that...later :p,fear
6020,<user> well there go my peace corps prospects.,fear
6021,<user> samee well i aint a man i am a girl obv nd i am 14 lol i aint no1 special or not famous or rich wish to be tho xx,surprise
6022,"gee i'm totally hatin' this , like for real ! i mean like, duh ! i've studied enough, and all that i need is refreshing tonite ! hard ?",noemo
6023,work all day,noemo
6024,female and male 3 year old labs looking for new home family is loosing their home. both must stay together. contact me if interested.,noemo
6025,<user> i can't find it on youtube only the concert versions....help!!!,fear
6026,"<user> i still haven't figured out what to do with them, sadly so it'll take some more research before i know what's what.",noemo
6027,<user> oh great.,love
6028,wishes he could be with that special someone....,noemo
6029,forgot how much i hate pizza delivery and manalapan and marlboro scum,fear
6030,<user> for me they're not,sadness
6031,"omfg, my head",sadness
6032,my job sucks!!!,sadness
6033,<user> so sorry i missed it!,sadness
6034,i hate that i am so stinkin tired everyday! it's so hard to get up...i thought i was supposed to start getting energy back now.,anger
6035,i think i might like twiterfon better than tweetie now. recent upgrades from twiterfon have been great! none from tweetie,fear
6036,<user> i have to dj 2 gigs on 6/20. no bk hh fest for me so please keep me posted on live dates,joy
6037,busy day! no time to tweet bmore what's happening this weekend?,sadness
6038,eating halls cuz i have a sour throte,noemo
6039,<user> am i not good enough,fear
6040,well here i go off to work,noemo
6041,missss my friends and plav time for a long day of work hahah,sadness
6042,so so tired..,sadness
6043,michael porter is haunting me again. ugh. the five forces. but i don't remember the other 9 strategies for competitive advantage.,fear
6044,<user> they were so pretty and took like an hour to do can i do ursssss!,sadness
6045,fuck you tony,anger
6046,all cash and looking for trades...can't find any,noemo
6047,<user> bummer was going to try and make it/ other commitments i'm afraid got into the way. next time hopefully-,sadness
6048,<user> totally! except we can't ride on the sidewalk like when we were kids. a lot more safe than on the road with crazy drivers.,joy
6049,i hope i can find a store to take us,joy
6050,is tired and sad,sadness
6051,<user> shopping is therapuetic and i'm all about bettering myself... i need financing for my therapy however,joy
6052,<user> a wet and dirty one now,noemo
6053,looks like another sober weekend ahead...,joy
6054,<user> tried to edit the page but couldn't add my name can you pop me on the list please!,fear
6055,<user> that's not good,fear
6056,<user> loadsa shizze has happend im so upset..,sadness
6057,i miss laughing till my stomache hurts,noemo
6058,why does my life suck?,sadness
6059,<user> glad its nice there. gray skies and rainy in wisconsin.,love
6060,"is waiting, yet again. please, just let this to be over",anger
6061,ugh! poor beautiful girl. went in for new tires and inspection sticker. now there's a $590 repair and still no tires.,sadness
6062,<user> that and being so careless with her vocals.,fear
6063,"freesat's coverage (sky dish) is really, really bad at the moment, blocks all over the place, really annoying!",sadness
6064,irritated that i can send emails but not receive them!,fear
6065,my computer died,sadness
6066,conference call with hp. they gave me an invalid pass code so i can't attend,sadness
6067,<user> the thought of splitting the estate is depressing of course! (kidding!) i don't like the thought of my parents dying,sadness
6068,<user> i'm dead bored. but also dead poor! student life is a piss take!,sadness
6069,<user> we've got a pool still boxed up because i need to level a suitable patch of ground before we can set it up.,noemo
6070,has been playing guitar hero to let of some steam.. you see.. mr unreliable has striked again! not funny,joy
6071,massive headache,sadness
6072,it's friday!!!!....and the sun is out....but i'm working inside.,joy
6073,goodbye mountains. #fb,noemo
6074,my head's thumping.,fear
6075,"i hate fallout 3 it keeps making me jump, i'm also low on health, money, ammo and food don't worry i'll get through it.",fear
6076,so annoyed i missed mitch benn @ lemon tree. damn you what's on!,sadness
6077,oh no! i just crashed my ball pump,sadness
6078,<user> its true...i can never be like <user> never,fear
6079,open office &quot;writer&quot; is weird. i need word to open word documents correctly,anger
6080,"oh noes, my puma hoodie is coming apart i love this thing!",love
6081,i need to go to sleep before 4am tonight... ... so exhausted.,noemo
6082,"wish we had a garden so we could have a bbq tonight... might set up a lounge bbq type thing, that'll work. #fridayfirehazzard",sadness
6083,<user> when it rains it pours - how true is that? i'm so sorry i hate those kinda times.,surprise
6084,sad day... told my students this is my last year here... a lot of crying since..,fear
6085,"slovakian country side is a refreshing change compared to tarmac and cars, but i am a city boy and need the tarmac",fear
6086,<user> aww that's horrible! xd,sadness
6087,<user> don't leave forever! we'll miss you too much,fear
6088,"<user> yes, it seems that way - page not found",noemo
6089,<user> were do you work??,noemo
6090,oh. i am just so tired.,sadness
6091,<user> don't know yet.. no word... hopeful though!! and some good stuff happening lately so i'm getting excited!,joy
6092,<user> i've been!,noemo
6093,laptop's thrown a paddy.. so bouncing half of my 'live' set down as wav's ..need a new laptop and a new copy of ableton.. hey ho mtfbwy..,noemo
6094,"i thought i was safe from the injections today, only to find out my mom will be the one who'll inject me with vaccine. help!",fear
6095,<user> no. its a bug in coding. go into the forum then do reg. let me know if that work!,noemo
6096,my poor phone is nekkid without its cover.,sadness
6097,according to <user> a quarter of families under six live in poverty.,fear
6098,sorry i'm not using tweetdeck it's not letting me tweet today,noemo
6099,"<user> u beat urself up a lot. stop, please? just do it! like nike. lol",noemo
6100,<user> i ate some hot food,noemo
6101,<user> think of the prize at the end. so sorry to hear that though.,fear
6102,i realy wanted to go out cause its so nice but everybodys busy,love
6103,don't you just hate when you are craving something to eat and then you go get it and end up disappointed? ugh.....,fear
6104,<user> that's no fun server change...?,noemo
6105,<user> haha i'm just going to turn off these things...but then i can't tweet from my phone stupid spammers!,noemo
6106,<user> i'm so sorry!! i hope she's ok xxx,fear
6107,"i'm always a little sad to see followers i really like, decide to unfollow me.",fear
6108,<user> mines curly atm i want mine to be straight lmao,love
6109,just got up. need to leave for class in a hour.,joy
6110,well thats that then. exam failed and bsc gone,sadness
6111,"<user> grrr, people suck. i cry when animals die on nature shows. these people are sick. no hunting endangered species!",sadness
6112,archie andrews what were you thinking?! veronica?,fear
6113,<user> beat? don't understand,noemo
6114,have hardly worked out in the last two weeks but am losing weight. fear i'm losing muscle!! just made doc. appt. for injured foot,fear
6115,is taking a deep deep breath,noemo
6116,disneyland was a blast yesterday now back to work,noemo
6117,i just saw a load of ambulances &amp; police cars &amp; a car smashed up with a roof lying in the road. :&quot;( that's 1 man dead 4 sure. .,fear
6118,"brilliant day today, got the car washed and got a washing done! just have to go to work in an hour",noemo
6119,"<user> unfortunately, yes...not outside!",noemo
6120,according to <user> a quarter of families with children under six live in poverty.,fear
6121,"<user> no, it's annoying and makes us girls that follow sports and are knowledgable look dumb",sadness
6122,<user> i'm having a hard time using hulu have u heard of anyone having problems that uses windows vista?,fear
6123,<user> i need to cancel my appt for 1 have to be home from1-5 for washing machine repair man can i do on the am? so sorry,fear
6124,awww the boys have no beards? i liked their manly man-ness [via <user> #asylm,love
6125,<user> sorry jj i missed that post i'll make sure do so next time.,fear
6126,half my class just called me retarded it hurt for real,fear
6127,yay playing a show tonight! boo it's gonna soggy and i'm at work right before playing,fear
6128,rip omar edwards - killed by friendly fire in nyc <url>,fear
6129,<user> i haven't had a good homemade flour tortilla in ages.,joy
6130,i know im wrong .. just give me one more chance senti .. :],fear
6131,<user> it was only once for my big brother...and i'm done now,noemo
6132,"<user> aw, no! feel better mandy! hope you aren't getting sick at least we know a nurse, hehe!",joy
6133,<user> lmaaaooooo that is horrible. poor thing,fear
6134,shower. then back to bed. so sick still.,anger
6135,everything is annoying me today,sadness
6136,"anyone got any goss yet on the supernatural convention in birmingham, been waiting patiently!",noemo
6137,weather sucks. apush filming has become a maybe at least banquet is tonight,anger
6138,"<user> cheers mate, still getting over wednesday you ok? you should be, you are an incredibly wealthy man",fear
6139,hateeee history of rock!,fear
6140,hand hurts,fear
6141,<user> lucky girl!!! i work all day tomorrow! and maybe even monday!!,sadness
6142,kinda bummed that i'm gonna miss <user> return to bg. now i'll never know what it's like to make love to <user>,fear
6143,<user> awww mate. that's such a shitter,fear
6144,<user> and it never arrived. have to wait until monday now,fear
6145,ow it hurts,noemo
6146,i need some cheering up,sadness
6147,listening to the legally blonde musical soundtrack. lamenting not going anymore. perhaps i will buy a nosebleed seat and go alone.,noemo
6148,<user> now cash u kno i'm not a hater.....jus upset i don't have my update yet,noemo
6149,ugh i'm so sleepy i think i'm still kinda sick,fear
6150,venus williams is having a horrible day at the office,fear
6151,<user> <user> not pimm's in a can?,noemo
6152,i am dreading shopping for a swimsuit,noemo
6153,soo tired.. still kinda angry that i missed the concert,sadness
6154,stupid competition stuff keeps getting in the way but i am going to get some words in today if it kills me <user>,sadness
6155,leaving now off to get my angry teethed pulled....,sadness
6156,wasabi is recovering from surgery <url>,fear
6157,"<user> it's 12am! <user> <user> and i are still up, sending you as much tweets as we can! philippines tour please?",love
6158,<user> anymore,noemo
6159,<user> what?! miley's gonna quit hannah montana?...i don't wanna believe it!,sadness
6160,"waiting for the sun to come back! school called, joey has a sore throat i want summer!! ..off to make some lunch. love to alllllllllllll!",fear
6161,im grounded tonight i hate stupid silent mode,anger
6162,<user> no...i'm just tired..,noemo
6163,then back to fucking school,anger
6164,<user> yeah yeah? how the heck are you anyway? sastch it up again this year? i had to bail out for lack of expenses,sadness
6165,oh boy this is going to be a loooooong day,fear
6166,"1 more goal, gila!! but his last game is against milan. dillematic 4 me",fear
6167,<user> um mr. deadly sir . can you please follow me on twitter .,noemo
6168,guess i'll be running in a little bit. accidentally fell asleep,fear
6169,"i've got sunburnt knees... it's funny now, but i bet they'll sting later had a fab day though x",joy
6170,"ok, i'm going outside...wish i was playing basketball oh well...",joy
6171,"<user> it's a modded 360, so you can't send it back? that red ring of death sucks! it took weeks to get mine back from microsoft.",anger
6172,<user> my denny's shut down in the winter. i have to do 50 miles to get to one now.,fear
6173,crying real tears,sadness
6174,no launch today. teacher changed plans and we watched a stupid move about tesla,sadness
6175,countdown to launch! june 2nd is oh so temptingly close ... if only my lovely puter weren't so faaaaar away,love
6176,my blow torch has broken this is a real bummer,sadness
6177,<user> will have to pare down his collection of portraits of <user> and bangbang,noemo
6178,<user> i wasn't near him.,sadness
6179,"so yeah, things aren't going so well for me. i'm getting to feel like i haven't felt in a long, long time.",fear
6180,admitting that i don't like action plots and i do like romance plots always makes me feel like i'm setting back the feminist cause.,noemo
6181,<user> nothing really. sooo bored xx,noemo
6182,"getting ready, waiting for cor, picking up josh, movies &amp; out to dinner - then trailer perhaps? baccck to work tomorrow",fear
6183,my new car is already giving me problems that cant be a good sign.,anger
6184,forgot my lunch and no one else is ordering stuff boooooo!,fear
6185,hopefully im getting my new windows tomorrow. still using my mums lap... birthday tomorrow eve and facebook doesnt work somehow.,noemo
6186,<user> that's great! i was never so good at the jump roping...,joy
6187,<user> i know i think i'm like dieing!,noemo
6188,i want my real keys back,noemo
6189,hmm... the new sports catalog and card jitsu updates are not appearing for me,fear
6190,"soo tired, couldn't get enough sleep",fear
6191,"on the monday, so i wont be able to be with you! i love you",fear
6192,going home... with sore #eyes,fear
6193,<user> i've been up most of what normal ppl consider the night. no problem going to sleep but nightmares been waking me up.,fear
6194,"the day i was planing on doing my work, i havent ...... i leave everything to the last minuet ...",fear
6195,my ti89 died. i don't know why.,sadness
6196,so sad i'm going to miss seeing pennywise again this year,sadness
6197,<user> why?!!?,surprise
6198,one of the estate agents next door just caught me singing along to wham,fear
6199,<user> i guess u ain like me den.. my hair cut short.. lol,joy
6200,<user> thats soooo pretty. mine havnt flowered for years,love
6201,"<user> wow, you still haven't gotten them?",surprise
6202,"<user> gangstarr exgirl to the next girl, nas one mic, hold on i still can't listen so i guess it dont matter",surprise
6203,<user> oh no not difficult. it's just nuts that's how you have to market yourselves on home turf,joy
6204,"<user> ive tried to, and nothing has worked. i dont think he's all that bothered *sigh*",fear
6205,wave would trend higher that bing,noemo
6206,<user> i wish i can go. but i'm not in us,fear
6207,<user> i need to watch star trek,love
6208,<user> nou moe... stomme banken/crisis shit :s,anger
6209,<user> well good luck with #twpp in an hours time i think i will be on my way home have fun!,joy
6210,<user> damnit i didn't but neither did you so win!,joy
6211,<user> so u are very burnt sorry back or front burnt?,fear
6212,<user> me too,noemo
6213,<user> not the same.. can we party tonight jig,sadness
6214,"<user> philippines tour, please? please? please?",noemo
6215,"<user> if i end up working in dc, gmu is on my &quot;short list&quot; for masters no. 2. started sys eng program in the 90's; never finished.",fear
6216,<user> that link isn't working for me for some reason,anger
6217,trying to get some work done not too happy about work situation,fear
6218,hates moving,sadness
6219,<user> missed the cutoff for the free chocolate eh well...bikini season is coming.....,noemo
6220,officially out of my apt learned some stuff about the crazy neighbors that used to live across the hall....scary!,surprise
6221,"sooooo, i just dropped my phone. don't text or tweet me, i'm currently banging my face against a spike covered poison ivy infested wall.",sadness
6222,oh no! my kindergarten teacher died mrs. collinson always remembered every student she ever had. loved that lady.,surprise
6223,<user> have fun,joy
6224,missin my boo,sadness
